user_id,signup_month,activity_month,revenue_usd
U00139,2024-12-31,2025-01-31,94.55
U00141,2024-06-30,2024-06-30,27.76
U00142,2024-10-31,2024-10-31,24.61
U00142,2024-10-31,2024-11-30,50.0
U00142,2024-10-31,2024-12-31,26.27
U00143,2024-04-30,2024-04-30,37.79
U00143,2024-04-30,2024-05-31,61.01
U00145,2024-01-31,2024-01-31,12.62
U00149,2024-12-31,2024-12-31,100.23
U00150,2024-12-31,2024-12-31,85.98
U00150,2024-12-31,2025-01-31,61.85
U00151,2024-12-31,2024-12-31,115.32
U00153,2024-07-31,2024-07-31,15.09
U00154,2024-11-30,2024-11-30,64.43
U00155,2024-07-31,2024-07-31,49.95
U00155,2024-07-31,2024-08-31,141.33
U00156,2024-03-31,2024-03-31,144.73
U00157,2024-07-31,2024-07-31,64.97
U00157,2024-07-31,2024-08-31,64.99
U00159,2024-11-30,2024-11-30,48.59
U00159,2024-11-30,2024-12-31,98.6
U00159,2024-11-30,2025-01-31,136.1
U00161,2024-04-30,2024-04-30,139.6
U00161,2024-04-30,2024-05-31,114.68
U00162,2024-03-31,2024-03-31,113.97
U00163,2024-09-30,2024-09-30,41.88
U00166,2024-11-30,2024-11-30,76.03
U00166,2024-11-30,2024-12-31,20.93
U00167,2024-04-30,2024-04-30,124.62
U00167,2024-04-30,2024-05-31,88.45
U00167,2024-04-30,2024-06-30,149.88
U00170,2024-09-30,2024-09-30,97.57
U00170,2024-09-30,2024-10-31,22.56
U00171,2024-03-31,2024-03-31,46.82
U00173,2024-01-31,2024-01-31,114.94
U00173,2024-01-31,2024-02-29,132.4
U00173,2024-01-31,2024-03-31,27.67
U00173,2024-01-31,2024-04-30,46.16
U00174,2024-03-31,2024-03-31,106.68
U00174,2024-03-31,2024-04-30,39.35
U00175,2024-11-30,2024-11-30,28.52
U00175,2024-11-30,2024-12-31,121.17
U00176,2024-09-30,2024-09-30,94.76
U00179,2024-11-30,2024-11-30,37.27
U00179,2024-11-30,2024-12-31,137.87
U00179,2024-11-30,2025-01-31,133.03
U00182,2024-11-30,2024-11-30,130.82
U00183,2024-07-31,2024-07-31,147.23
U00184,2024-01-31,2024-01-31,50.0
U00185,2024-12-31,2024-12-31,57.39
U00186,2024-08-31,2024-08-31,79.22
U00186,2024-08-31,2024-09-30,29.09
U00188,2024-07-31,2024-07-31,81.77
U00188,2024-07-31,2024-08-31,148.91
U00189,2024-10-31,2024-10-31,114.92
U00190,2024-02-29,2024-02-29,28.18
U00190,2024-02-29,2024-03-31,80.87
U00190,2024-02-29,2024-04-30,47.63
U00192,2024-03-31,2024-03-31,119.75
U00196,2024-10-31,2024-10-31,114.03
U00197,2024-12-31,2024-12-31,82.84
U00198,2024-07-31,2024-07-31,133.38
U00200,2024-01-31,2024-01-31,87.87
U00200,2024-01-31,2024-02-29,93.08
U00200,2024-01-31,2024-03-31,108.38
U00201,2024-06-30,2024-06-30,109.54
U00205,2024-09-30,2024-09-30,89.31
U00206,2024-09-30,2024-09-30,134.9
U00206,2024-09-30,2024-10-31,118.22
U00207,2024-06-30,2024-06-30,83.87
U00208,2024-10-31,2024-10-31,78.31
U00209,2024-03-31,2024-03-31,106.94
U00210,2024-08-31,2024-08-31,67.64
U00210,2024-08-31,2024-09-30,88.98
U00211,2024-11-30,2024-11-30,55.59
U00212,2024-03-31,2024-03-31,142.23
U00213,2024-05-31,2024-05-31,36.33
U00215,2024-12-31,2024-12-31,29.93
U00216,2024-12-31,2024-12-31,145.73
U00216,2024-12-31,2025-01-31,15.01
U00217,2024-07-31,2024-07-31,143.58
U00217,2024-07-31,2024-08-31,59.83
U00217,2024-07-31,2024-09-30,42.71
U00217,2024-07-31,2024-10-31,58.79
U00218,2024-08-31,2024-08-31,103.93
U00219,2024-09-30,2024-09-30,130.0
U00219,2024-09-30,2024-10-31,77.5
U00221,2024-11-30,2024-11-30,106.17
U00222,2024-03-31,2024-03-31,33.12
U00222,2024-03-31,2024-04-30,137.28
U00229,2024-01-31,2024-01-31,89.99
U00229,2024-01-31,2024-02-29,45.1
U00229,2024-01-31,2024-03-31,84.61
U00231,2024-11-30,2024-11-30,122.12
U00231,2024-11-30,2024-12-31,52.03
U00234,2024-06-30,2024-06-30,55.85
U00235,2024-07-31,2024-07-31,47.18
U00235,2024-07-31,2024-08-31,68.58
U00237,2024-10-31,2024-10-31,59.73
U00240,2024-04-30,2024-04-30,118.37
U00241,2024-04-30,2024-04-30,105.33
U00245,2024-03-31,2024-03-31,29.16
U00246,2024-07-31,2024-07-31,55.36
U00247,2024-08-31,2024-08-31,147.33
U00248,2024-01-31,2024-01-31,115.4
U00248,2024-01-31,2024-02-29,49.34
U00250,2024-11-30,2024-11-30,122.3
U00252,2024-07-31,2024-07-31,105.08
U00253,2024-03-31,2024-03-31,149.56
U00253,2024-03-31,2024-04-30,117.98
U00259,2024-08-31,2024-08-31,35.85
U00261,2024-08-31,2024-08-31,64.19
U00261,2024-08-31,2024-09-30,68.63
U00264,2024-05-31,2024-05-31,22.81
U00265,2024-10-31,2024-10-31,117.45
U00265,2024-10-31,2024-11-30,59.81
U00265,2024-10-31,2024-12-31,90.49
U00266,2024-08-31,2024-08-31,68.52
U00266,2024-08-31,2024-09-30,118.49
U00268,2024-04-30,2024-04-30,95.39
U00268,2024-04-30,2024-05-31,97.53
U00268,2024-04-30,2024-06-30,34.0
U00273,2024-03-31,2024-03-31,145.5
U00274,2024-06-30,2024-06-30,10.58
U00274,2024-06-30,2024-07-31,79.1
U00274,2024-06-30,2024-08-31,47.59
U00277,2024-09-30,2024-09-30,25.58
U00278,2024-08-31,2024-08-31,16.94
U00278,2024-08-31,2024-09-30,46.02
U00278,2024-08-31,2024-10-31,90.28
U00278,2024-08-31,2024-11-30,25.77
U00280,2024-07-31,2024-07-31,102.7
U00281,2024-08-31,2024-08-31,117.24
U00282,2024-09-30,2024-09-30,57.6
U00284,2024-03-31,2024-03-31,52.76
U00284,2024-03-31,2024-04-30,46.9
U00285,2024-04-30,2024-04-30,112.39
U00285,2024-04-30,2024-05-31,65.61
U00285,2024-04-30,2024-06-30,55.51
U00286,2024-02-29,2024-02-29,95.65
U00287,2024-11-30,2024-11-30,98.15
U00287,2024-11-30,2024-12-31,29.02
U00287,2024-11-30,2025-01-31,42.01
U00288,2024-07-31,2024-07-31,49.33
U00289,2024-06-30,2024-06-30,43.22
U00289,2024-06-30,2024-07-31,83.8
U00290,2024-02-29,2024-02-29,46.91
U00290,2024-02-29,2024-03-31,124.65
U00291,2024-01-31,2024-01-31,95.55
U00296,2024-08-31,2024-08-31,145.98
U00298,2024-04-30,2024-04-30,97.36
U00300,2024-11-30,2024-11-30,123.8
U00302,2024-12-31,2024-12-31,45.23
U00304,2024-08-31,2024-08-31,39.44
U00305,2024-06-30,2024-06-30,62.93
U00309,2024-07-31,2024-07-31,122.73
U00311,2024-03-31,2024-03-31,56.99
U00312,2024-04-30,2024-04-30,20.24
U00314,2024-09-30,2024-09-30,97.12
U00315,2024-04-30,2024-04-30,69.62
U00315,2024-04-30,2024-05-31,61.71
U00316,2024-03-31,2024-03-31,58.29
U00316,2024-03-31,2024-04-30,37.96
U00316,2024-03-31,2024-05-31,33.17
U00316,2024-03-31,2024-06-30,134.22
U00317,2024-01-31,2024-01-31,119.14
U00317,2024-01-31,2024-02-29,113.71
U00319,2024-07-31,2024-07-31,140.31
U00319,2024-07-31,2024-08-31,79.95
U00320,2024-11-30,2024-11-30,140.34
U00321,2024-11-30,2024-11-30,85.43
U00321,2024-11-30,2024-12-31,129.16
U00322,2024-02-29,2024-02-29,43.27
U00322,2024-02-29,2024-03-31,48.0
U00325,2024-09-30,2024-09-30,54.99
U00327,2024-12-31,2024-12-31,84.02
U00327,2024-12-31,2025-01-31,11.0
U00327,2024-12-31,2025-02-28,77.73
U00328,2024-09-30,2024-09-30,112.01
U00331,2024-11-30,2024-11-30,113.01
U00331,2024-11-30,2024-12-31,33.21
U00331,2024-11-30,2025-01-31,84.77
U00332,2024-09-30,2024-09-30,112.38
U00333,2024-10-31,2024-10-31,52.42
U00339,2024-10-31,2024-10-31,59.15
U00339,2024-10-31,2024-11-30,104.57
U00339,2024-10-31,2024-12-31,60.19
U00339,2024-10-31,2025-01-31,30.33
U00339,2024-10-31,2025-02-28,57.75
U00339,2024-10-31,2025-03-31,140.57
U00342,2024-01-31,2024-01-31,91.01
U00344,2024-11-30,2024-11-30,36.03
U00345,2024-02-29,2024-02-29,31.79
U00347,2024-02-29,2024-02-29,20.24
U00348,2024-09-30,2024-09-30,142.46
U00348,2024-09-30,2024-10-31,44.27
U00349,2024-03-31,2024-03-31,97.25
U00350,2024-08-31,2024-08-31,13.59
U00350,2024-08-31,2024-09-30,135.98
U00351,2024-02-29,2024-02-29,106.1
U00351,2024-02-29,2024-03-31,62.75
U00352,2024-05-31,2024-05-31,23.62
U00354,2024-10-31,2024-10-31,112.25
U00356,2024-04-30,2024-04-30,41.65
U00356,2024-04-30,2024-05-31,35.88
U00357,2024-02-29,2024-02-29,117.05
U00359,2024-08-31,2024-08-31,20.04
U00359,2024-08-31,2024-09-30,140.09
U00363,2024-01-31,2024-01-31,110.83
U00364,2024-07-31,2024-07-31,86.92
U00364,2024-07-31,2024-08-31,65.28
U00364,2024-07-31,2024-09-30,20.69
U00365,2024-09-30,2024-09-30,91.57
U00365,2024-09-30,2024-10-31,132.99
U00365,2024-09-30,2024-11-30,104.3
U00366,2024-07-31,2024-07-31,28.57
U00367,2024-12-31,2024-12-31,25.2
U00369,2024-01-31,2024-01-31,56.8
U00369,2024-01-31,2024-02-29,75.27
U00369,2024-01-31,2024-03-31,51.29
U00371,2024-02-29,2024-02-29,46.8
U00372,2024-12-31,2024-12-31,61.07
U00372,2024-12-31,2025-01-31,80.31
U00372,2024-12-31,2025-02-28,45.32
U00372,2024-12-31,2025-03-31,110.07
U00374,2024-04-30,2024-04-30,143.14
U00374,2024-04-30,2024-05-31,54.75
U00374,2024-04-30,2024-06-30,136.01
U00374,2024-04-30,2024-07-31,81.63
U00377,2024-06-30,2024-06-30,44.86
U00378,2024-08-31,2024-08-31,89.94
U00378,2024-08-31,2024-09-30,106.23
U00379,2024-02-29,2024-02-29,44.62
U00381,2024-03-31,2024-03-31,25.0
U00382,2024-03-31,2024-03-31,77.67
U00383,2024-09-30,2024-09-30,90.21
U00384,2024-10-31,2024-10-31,114.38
U00385,2024-05-31,2024-05-31,59.85
U00386,2024-06-30,2024-06-30,142.65
U00386,2024-06-30,2024-07-31,49.47
U00388,2024-11-30,2024-11-30,40.25
U00388,2024-11-30,2024-12-31,11.54
U00391,2024-07-31,2024-07-31,42.91
U00392,2024-12-31,2024-12-31,144.87
U00393,2024-11-30,2024-11-30,122.16
U00393,2024-11-30,2024-12-31,105.35
U00394,2024-12-31,2024-12-31,26.78
U00394,2024-12-31,2025-01-31,37.23
U00395,2024-08-31,2024-08-31,12.96
U00396,2024-02-29,2024-02-29,69.62
U00396,2024-02-29,2024-03-31,142.38
U00398,2024-09-30,2024-09-30,99.87
U00401,2024-05-31,2024-05-31,43.73
U00404,2024-08-31,2024-08-31,96.41
U00405,2024-05-31,2024-05-31,36.54
U00405,2024-05-31,2024-06-30,116.32
U00406,2024-08-31,2024-08-31,26.84
U00406,2024-08-31,2024-09-30,109.87
U00406,2024-08-31,2024-10-31,63.66
U00406,2024-08-31,2024-11-30,108.63
U00406,2024-08-31,2024-12-31,107.28
U00409,2024-04-30,2024-04-30,69.48
U00412,2024-05-31,2024-05-31,96.58
U00412,2024-05-31,2024-06-30,146.0
U00412,2024-05-31,2024-07-31,86.91
U00415,2024-11-30,2024-11-30,29.23
U00416,2024-04-30,2024-04-30,95.63
U00417,2024-12-31,2024-12-31,15.32
U00418,2024-02-29,2024-02-29,50.3
U00420,2024-08-31,2024-08-31,118.58
U00422,2024-08-31,2024-08-31,44.88
U00424,2024-02-29,2024-02-29,31.07
U00424,2024-02-29,2024-03-31,58.03
U00429,2024-11-30,2024-11-30,119.09
U00430,2024-02-29,2024-02-29,147.92
U00431,2024-03-31,2024-03-31,86.96
U00434,2024-11-30,2024-11-30,42.09
U00434,2024-11-30,2024-12-31,26.28
U00434,2024-11-30,2025-01-31,86.51
U00434,2024-11-30,2025-02-28,20.88
U00435,2024-12-31,2024-12-31,146.3
U00435,2024-12-31,2025-01-31,105.26
U00436,2024-08-31,2024-08-31,87.58
U00439,2024-08-31,2024-08-31,146.07
U00439,2024-08-31,2024-09-30,146.65
U00441,2024-04-30,2024-04-30,120.23
U00441,2024-04-30,2024-05-31,146.44
U00443,2024-04-30,2024-04-30,95.0
U00447,2024-06-30,2024-06-30,68.84
U00447,2024-06-30,2024-07-31,19.36
U00447,2024-06-30,2024-08-31,126.02
U00450,2024-06-30,2024-06-30,26.69
U00451,2024-05-31,2024-05-31,46.7
U00452,2024-07-31,2024-07-31,82.26
U00452,2024-07-31,2024-08-31,56.97
U00452,2024-07-31,2024-09-30,119.22
U00454,2024-05-31,2024-05-31,136.51
U00455,2024-06-30,2024-06-30,99.41
U00457,2024-12-31,2024-12-31,69.64
U00460,2024-04-30,2024-04-30,18.11
U00462,2024-02-29,2024-02-29,20.57
U00463,2024-01-31,2024-01-31,55.51
U00463,2024-01-31,2024-02-29,33.5
U00465,2024-10-31,2024-10-31,18.88
U00466,2024-08-31,2024-08-31,96.74
U00466,2024-08-31,2024-09-30,23.0
U00467,2024-09-30,2024-09-30,38.95
U00467,2024-09-30,2024-10-31,82.62
U00470,2024-11-30,2024-11-30,97.52
U00470,2024-11-30,2024-12-31,94.11
U00474,2024-05-31,2024-05-31,11.09
U00476,2024-12-31,2024-12-31,107.74
U00477,2024-03-31,2024-03-31,10.66
U00481,2024-04-30,2024-04-30,148.17
U00481,2024-04-30,2024-05-31,132.94
U00484,2024-03-31,2024-03-31,112.39
U00484,2024-03-31,2024-04-30,40.1
U00484,2024-03-31,2024-05-31,115.81
U00485,2024-12-31,2024-12-31,110.28
U00486,2024-04-30,2024-04-30,124.9
U00487,2024-05-31,2024-05-31,140.77
U00487,2024-05-31,2024-06-30,115.31
U00490,2024-02-29,2024-02-29,21.91
U00493,2024-10-31,2024-10-31,127.84
U00497,2024-08-31,2024-08-31,15.96
U00497,2024-08-31,2024-09-30,27.39
U00497,2024-08-31,2024-10-31,111.24
U00498,2024-10-31,2024-10-31,23.79
U00498,2024-10-31,2024-11-30,116.47
U00499,2024-07-31,2024-07-31,11.39
U00501,2024-04-30,2024-04-30,52.18
U00501,2024-04-30,2024-05-31,146.82
U00501,2024-04-30,2024-06-30,49.76
U00503,2024-12-31,2024-12-31,75.45
U00503,2024-12-31,2025-01-31,73.27
U00504,2024-04-30,2024-04-30,92.83
U00504,2024-04-30,2024-05-31,121.5
U00504,2024-04-30,2024-06-30,92.69
U00506,2024-10-31,2024-10-31,18.8
U00507,2024-02-29,2024-02-29,47.07
U00507,2024-02-29,2024-03-31,126.24
U00508,2024-11-30,2024-11-30,18.93
U00510,2024-10-31,2024-10-31,44.75
U00516,2024-05-31,2024-05-31,13.0
U00517,2024-02-29,2024-02-29,58.2
U00518,2024-08-31,2024-08-31,58.01
U00518,2024-08-31,2024-09-30,114.35
U00519,2024-03-31,2024-03-31,96.41
U00519,2024-03-31,2024-04-30,46.23
U00519,2024-03-31,2024-05-31,139.3
U00522,2024-02-29,2024-02-29,96.2
U00522,2024-02-29,2024-03-31,35.15
U00524,2024-11-30,2024-11-30,23.49
U00525,2024-03-31,2024-03-31,115.12
U00525,2024-03-31,2024-04-30,148.28
U00525,2024-03-31,2024-05-31,51.11
U00525,2024-03-31,2024-06-30,11.72
U00526,2024-02-29,2024-02-29,86.84
U00526,2024-02-29,2024-03-31,69.47
U00526,2024-02-29,2024-04-30,69.62
U00529,2024-08-31,2024-08-31,101.29
U00530,2024-04-30,2024-04-30,110.95
U00538,2024-10-31,2024-10-31,12.47
U00538,2024-10-31,2024-11-30,48.86
U00538,2024-10-31,2024-12-31,62.31
U00543,2024-08-31,2024-08-31,107.83
U00543,2024-08-31,2024-09-30,73.16
U00543,2024-08-31,2024-10-31,92.76
U00543,2024-08-31,2024-11-30,120.76
U00546,2024-11-30,2024-11-30,126.24
U00546,2024-11-30,2024-12-31,54.73
U00547,2024-03-31,2024-03-31,131.79
U00548,2024-08-31,2024-08-31,120.51
U00549,2024-05-31,2024-05-31,137.62
U00550,2024-07-31,2024-07-31,133.28
U00551,2024-03-31,2024-03-31,116.78
U00553,2024-05-31,2024-05-31,64.33
U00554,2024-02-29,2024-02-29,81.92
U00556,2024-08-31,2024-08-31,93.68
U00558,2024-06-30,2024-06-30,140.14
U00563,2024-11-30,2024-11-30,35.23
U00564,2024-11-30,2024-11-30,106.41
U00566,2024-08-31,2024-08-31,140.91
U00568,2024-04-30,2024-04-30,21.25
U00569,2024-02-29,2024-02-29,44.92
U00569,2024-02-29,2024-03-31,37.68
U00569,2024-02-29,2024-04-30,129.1
U00569,2024-02-29,2024-05-31,145.33
U00570,2024-11-30,2024-11-30,42.66
U00570,2024-11-30,2024-12-31,117.28
U00573,2024-07-31,2024-07-31,91.23
U00573,2024-07-31,2024-08-31,129.66
U00574,2024-03-31,2024-03-31,100.01
U00575,2024-05-31,2024-05-31,45.77
U00577,2024-03-31,2024-03-31,15.14
U00577,2024-03-31,2024-04-30,34.75
U00577,2024-03-31,2024-05-31,134.95
U00578,2024-03-31,2024-03-31,112.84
U00578,2024-03-31,2024-04-30,10.1
U00579,2024-08-31,2024-08-31,56.93
U00581,2024-05-31,2024-05-31,121.68
U00581,2024-05-31,2024-06-30,27.21
U00582,2024-12-31,2024-12-31,91.15
U00583,2024-01-31,2024-01-31,143.52
U00583,2024-01-31,2024-02-29,87.04
U00585,2024-04-30,2024-04-30,54.2
U00586,2024-11-30,2024-11-30,105.36
U00588,2024-09-30,2024-09-30,107.86
U00588,2024-09-30,2024-10-31,139.66
U00590,2024-01-31,2024-01-31,42.93
U00591,2024-09-30,2024-09-30,39.44
U00591,2024-09-30,2024-10-31,46.51
U00591,2024-09-30,2024-11-30,99.03
U00594,2024-03-31,2024-03-31,141.1
U00595,2024-11-30,2024-11-30,33.71
U00597,2024-06-30,2024-06-30,21.19
U00597,2024-06-30,2024-07-31,142.72
U00598,2024-02-29,2024-02-29,41.86
U00598,2024-02-29,2024-03-31,70.74
U00599,2024-05-31,2024-05-31,73.42
U00599,2024-05-31,2024-06-30,115.48
U00599,2024-05-31,2024-07-31,43.39
U00600,2024-08-31,2024-08-31,84.9
U00601,2024-03-31,2024-03-31,27.5
U00607,2024-03-31,2024-03-31,13.68
U00607,2024-03-31,2024-04-30,102.21
U00608,2024-01-31,2024-01-31,84.29
U00610,2024-06-30,2024-06-30,91.16
U00611,2024-11-30,2024-11-30,117.5
U00611,2024-11-30,2024-12-31,25.41
U00617,2024-03-31,2024-03-31,10.61
U00617,2024-03-31,2024-04-30,15.21
U00619,2024-01-31,2024-01-31,96.18
U00619,2024-01-31,2024-02-29,23.29
U00622,2024-03-31,2024-03-31,142.01
U00622,2024-03-31,2024-04-30,51.82
U00626,2024-05-31,2024-05-31,86.49
U00627,2024-03-31,2024-03-31,35.6
U00627,2024-03-31,2024-04-30,116.99
U00628,2024-02-29,2024-02-29,18.03
U00628,2024-02-29,2024-03-31,115.83
U00628,2024-02-29,2024-04-30,149.45
U00629,2024-11-30,2024-11-30,121.84
U00631,2024-07-31,2024-07-31,68.97
U00631,2024-07-31,2024-08-31,148.08
U00634,2024-08-31,2024-08-31,69.5
U00634,2024-08-31,2024-09-30,19.26
U00635,2024-09-30,2024-09-30,21.45
U00641,2024-03-31,2024-03-31,28.48
U00641,2024-03-31,2024-04-30,66.63
U00642,2024-05-31,2024-05-31,107.63
U00645,2024-04-30,2024-04-30,110.61
U00646,2024-08-31,2024-08-31,114.7
U00646,2024-08-31,2024-09-30,28.41
U00648,2024-05-31,2024-05-31,136.85
U00648,2024-05-31,2024-06-30,91.13
U00648,2024-05-31,2024-07-31,45.98
U00649,2024-11-30,2024-11-30,16.23
U00649,2024-11-30,2024-12-31,66.25
U00651,2024-10-31,2024-10-31,33.8
U00652,2024-02-29,2024-02-29,100.8
U00655,2024-06-30,2024-06-30,103.54
U00655,2024-06-30,2024-07-31,74.86
U00656,2024-08-31,2024-08-31,94.81
U00656,2024-08-31,2024-09-30,107.82
U00657,2024-08-31,2024-08-31,41.15
U00657,2024-08-31,2024-09-30,133.73
U00657,2024-08-31,2024-10-31,13.69
U00659,2024-04-30,2024-04-30,54.56
U00661,2024-04-30,2024-04-30,61.94
U00661,2024-04-30,2024-05-31,40.08
U00662,2024-09-30,2024-09-30,81.6
U00662,2024-09-30,2024-10-31,128.86
U00662,2024-09-30,2024-11-30,99.7
U00662,2024-09-30,2024-12-31,18.93
U00664,2024-12-31,2024-12-31,132.61
U00664,2024-12-31,2025-01-31,54.67
U00664,2024-12-31,2025-02-28,17.23
U00664,2024-12-31,2025-03-31,66.23
U00665,2024-11-30,2024-11-30,128.56
U00671,2024-07-31,2024-07-31,14.62
U00671,2024-07-31,2024-08-31,115.48
U00672,2024-09-30,2024-09-30,71.54
U00673,2024-12-31,2024-12-31,123.91
U00677,2024-11-30,2024-11-30,31.69
U00679,2024-09-30,2024-09-30,124.24
U00679,2024-09-30,2024-10-31,11.3
U00680,2024-01-31,2024-01-31,45.62
U00682,2024-03-31,2024-03-31,93.36
U00682,2024-03-31,2024-04-30,66.97
U00682,2024-03-31,2024-05-31,101.54
U00682,2024-03-31,2024-06-30,121.09
U00682,2024-03-31,2024-07-31,108.58
